index,epoch,train_loss,valid_loss,train_mae,valid_mae,lr
0,0,1.0018286604881286,1.6471052837371827,0.6482791175842285,0.6471908736228943,0.00012324754587434076
1,1,0.9999723219871521,1.5071964359283447,0.5630018949508667,0.507726811170578,2.4575732726722597e-07
2,2,0.9998228578567505,1.5187118244171143,0.5207280864715577,0.5189902472496033,8.631007183618051e-05
3,3,0.9996432998180389,1.508174605369568,0.5028802478313446,0.5088404083251953,0.0001605227581657272
4,4,0.999386225938797,1.484503607749939,0.49500358259677885,0.4850146448612213,5.924967835582434e-05
5,5,0.9993426060676575,1.4765469026565552,0.4871041283607483,0.4782096755504608,0.00011945776103802548
6,6,0.9992686030864716,1.4785687017440796,0.47404582703113557,0.4798378837108612,3.5617082466209434e-05
7,7,0.9990880007743835,1.4565580892562866,0.4624531055688858,0.45764211654663084,7.772580286971207e-05
8,8,0.9988792150020599,1.4301134490966796,0.4397701795101166,0.43255762696266176,3.568315892146788e-07
9,9,0.9989094831943512,1.4289680004119873,0.43107112908363343,0.42997448682785033,2.9096140799512634e-05
10,10,0.9986757311820984,1.4674236917495727,0.41923010790348053,0.4689182257652283,5.8535307607926315e-05
11,11,0.9983996593952179,1.411229190826416,0.3997573199272156,0.41272414088249204,5.3935515108995156e-05
12,12,0.9977426664829254,1.447135829925537,0.3889464704990387,0.449038724899292,4.0208171259022465e-05
13,13,0.9975199255943298,1.4756787490844727,0.38896233308315276,0.47761927723884584,2.2711964984773088e-05
14,14,0.9974477903842927,1.490107502937317,0.39010870921611784,0.4922356724739075,7.678233711097951e-06
15,15,0.9971581664085388,1.4640233182907105,0.3912884271144867,0.4653639996051788,4.6129544570599193e-07
